QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_142e06a2660258681db499f2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5abc2620e2c9ec616fdfa1d8 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0899b786107d06a12e369bae status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_23221b4d01b54585d463bad4 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_54f0ab1e40697ed5c0aaeca0 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_799ef1f54ba0434eafd60f98 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_d9a5832ce523bc41acd38feb status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e6447fe0d5fbdbd612eac5a7 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_641647c90256392d70359d7b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_25fcb7304046b58debae014a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5b671cafdeed7682f96b526c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_8cbd4a67d85edc029c619129 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_3863d2842831ec589094a473 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_59c0cd24c960a0c7a07733c9 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_52f7ce3109c674b6ea8fd194 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_abf28c35595b42c55f67caa1 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6ec77cec893ecb748a63dbc2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_598f40c7b2ab413bd20d2c28 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6789c6a856f5da370aeb1301 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_c5de14605cdce14b08d472ff status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_4c04c0babd570ce428fdd959 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1f517a95ce2e9970522c7ec2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_cdda0e4c17563c617ba8ec06 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_dd7297c2915b450c897e6d2e status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5c50bf18275e89e547a37e8c status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_dfb0fe50aa18f522912df1bd status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_6d11c26ab87feb1e2924279a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e03e136c494e76e9949f718a status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_e9d341b1033788bf9945edab status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_0660d499bc0457a388cfcc1b status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_5790523f597944ae216316ad status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_2d965142a997382820a7575e status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_66d03f071c90c4b29cf19d5f status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_de61458a651a8620d43fc6d2 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_9540890d8bc336fba74f0aad status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_639ed61b6f147a4ca76e2c74 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_1247bdffebcb4e03536fb241 status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
CONTROL_dd42767e82e4d78f8f42c1ac status=0 uid=0 boot=7dc0540d-70c2-4ae4-94b3-8fe4892de011
