QEMU_INTERACTION_PHASE boot=1 phase=x-socket
CONTROL_74e1b1bbf48f4f1b85fc25d0 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_35277f693185c54a0f586a0c status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_e99c777c211ff396a9ce87c8 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_057fdb275bad0624f124949b status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_909a369efe8940038459f01f status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_98216863402d8a007342e2ba status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_f3bfb2e33a137418bb9bd2e9 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_1b9b53275a7a063a3f2d9488 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_35956741d1b20c0ee49912c2 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_c04594917b13c94c5ffbc8c0 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_17dc9e8f07cde91577138d52 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_24afb3961f39ce261bbac03d status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_69eea415c1cadec78362807d status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_d005eef800b2d625cc9331be status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_4270dd837350ac6f5bb9c716 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_92937d8700f283b3579dbb71 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_3666743b54666f89b473481c status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_a71ab106fd1863aa3a2264ae status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_27df0db6053ad396edcc6e60 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_e25863610ec90b2dfd0aa79f status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_a439e1b29e4c31aafaee9216 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_c603990753f833641c1df709 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_11eed209ee14dee4ed26f6bc status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_b71f7036e7991105f0777540 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_c1e72b68c4f63c7d065869a7 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_5394335807c40bae66172a35 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_51fcb296647ddf4b38351298 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_83b70397a5aa5de9aeaf5363 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_827d147f25fea9644ecf35a9 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_fffb54e2e393cc212c208ecb status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_aed6eae067660ccafda12cb3 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_83c8d4ec24f0b24412b36cfa status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_3f8b21a6a9ea819b70513702 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_62771417e9c17510eb16210d status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_5bcae8c711cf12224828d1e1 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_30026b70d2b383c638bdf741 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_a9012ecfd47b1fa5cca7709a status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_885a40be41b7ac6700dcd791 status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
CONTROL_d05cd38a6ca2d9f5a66e78bb status=0 uid=0 boot=aca35573-f6d6-4db6-a9a4-f4e557b10b67
{
  "passed": true,
  "reason": "pass",
  "input_sha256": {
    "kernel": "2b65f6e555ee1befeb7ea2c77ce5d9e6e2e9baf1a16e6fcd741316f40bf2ac0b",
    "u_boot": "738775f52dcfad98dfae4b851a6dc3118db30bbe6455c7df3573a84133db8a5d",
    "dtb": "586d1136aed48f8935a35febe0cf7d68fe44892215ab81209def62ffdb000142",
    "stage1_initramfs": "872e38f947e18c225f2df47a645d419c04c42d536a6c5f518226dbc9d243593d",
    "root_image": "bd855c9855e6734cb5e154d488d7c1899f9c1949ac01dae87cd0fc88702e35cf",
    "manifest": "1465d690e049a9ddd8eec2b8e7c4611dbea2fd112f53bcae224b6dd17ce16243",
    "packages_lock": "aa92c0471dbd9c08b3adfce97235f78dc625054296fe37adce5afa0a77ce9966",
    "package_checksums": "e827046a3f0f5ae381e39159436197e7c8e4c9ebfdc02aeee578138c74af4fad"
  },
  "final_root_sha256": "1ef4cb73eb82d6f9ca0772cfd3cf85dc80c9b40875fc7af2d624039546908a86",
  "profile": "browser-web",
  "debian_release": "13.7",
  "experiment": "native",
  "physical": false,
  "debug_console": {
    "uid": 0,
    "pid1": "systemd",
    "root_device": "/dev/vdb",
    "root_filesystem": "ext2",
    "graphical_state": "active",
    "desktop_state": "active"
  },
  "target": "browser",
  "network_fixture": {
    "payload_path": "/asterinas-network-probe.bin",
    "payload_sha256": "7daca2095d0438260fa849183dfc67faa459fdf4936e1bc91eec6b281b27e4c2",
    "payload_size": 65536,
    "records_truncated": false,
    "request_count": 0,
    "requests": [],
    "schema_version": 1,
    "workload_max_active": 0,
    "workload_records_truncated": false,
    "workload_request_count": 0,
    "workload_requests": []
  },
  "qemu_argv": [
    [
      "qemu-system-riscv64",
      "-machine",
      "virt",
      "-cpu",
      "rv64,sv48=false,svpbmt=true,zkr=true,svadu=false,svade=true",
      "-m",
      "2G",
      "-smp",
      "4",
      "-display",
      "none",
      "-netdev",
      "user,id=net0",
      "-device",
      "virtio-net-device,netdev=net0",
      "-serial",
      "stdio",
      "-no-reboot",
      "-kernel",
      "/tmp/asterinas-debian-qemu-b1-mipo5g3f/u-boot",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/boot.ext4,id=bootdisk,readonly=on",
      "-device",
      "bochs-display",
      "-device",
      "virtio-keyboard-device",
      "-device",
      "virtio-tablet-device",
      "-device",
      "virtio-blk-device,drive=bootdisk",
      "-drive",
      "if=none,format=raw,file=/proc/self/fd/12/debian-root.run.ext2,id=rootdisk,cache=directsync",
      "-device",
      "virtio-blk-device,drive=rootdisk",
      "-monitor",
      "unix:/tmp/asterinas-debian-qemu-b1-mipo5g3f/monitor.sock,server=on,wait=off",
      "-qmp",
      "unix:/tmp/asterinas-debian-qemu-b1-mipo5g3f/physical-input.qmp,server=on,wait=off"
    ]
  ],
  "screenshot": {}
}
